Вкажіть тип фінансового звіту, який заповнюєте;Область;Вкажіть назву партії;Чи подано звіт?;Дата подання фінансового звіту партією;Власні кошти місцевої організації партії;Внески кандидатів, включених до виборчого списку;Добровільні внески фізичних осіб;"Надходження коштів від осіб, не визначених у частині першій статті 72 Закону України ""Про місцеві вибори"" (юридичні особи, громадські організації тощо)";Помилкові надходження коштів;Усього надійшло коштів на накопичувальний рахунок виборчого фонду;Повернення добровільних внесків фізичним особам (загальна сума);Перерахування коштів до бюджетів (загальна сума);Повернення помилкових надходжень коштів;Банківські послуги, які не повязані з відкриттям і закриттям рахунку та його функціонуванням;Публікування реквізитів накопичувального рахунку в друкованих ЗМІ;Усього перераховано коштів з накопичувального рахунку виборчого фонду;Загальний розмір виборчого фонду;Усього надійшло коштів на поточний рахунок виборчого фонду;Виготовлення матеріалів передвиборної агітації (загальна сума);Виготовлення друкованих матеріалів (плакатів, листівок, буклетів та інших агітаційних матеріалів);Виготовлення відеозаписів;Виготовлення аудіозаписів;Виготовлення предметів, матеріалів (сувенірів, канцтоварів тощо)  з використанням прізвищ чи зображень (портретів) кандидатів;Придбання канцтоварів, паперу, інших предметів і матеріалів для виготовлення матеріалів передвиборної агітації;Використання засобів масової інформації (загальна сума);Оплата ефірного часу (загальна сума телебачення + радіо);Оплата ефірного часу на телебаченні;Оплата ефірного часу на радіо;Публікування агітаційних матеріалів у друкованих засобах масової інформації;Інші послуги, пов’язані з проведенням передвиборної агітації (загальна сума);Транспортні послуги для реалізації заходів передвиборної агітації;Оренда будинків і приміщень для проведення публічних дебатів, дискусій, круглих столів, прес-конференцій стосовно положень передвиборної програми кандидата, а також для виготовлення матеріалів передвиборної агітації;Оренда обладнання та технічних засобів для ведення передвиборної агітації;Оренда приміщень усіх форм власності для проведення зборів громадян та інших публічних заходів передвиборної агітації;Виготовлення (оренда) рекламних щитів;Виготовлення (оренда) агітаційних наметів;Послуги зв’язку (загальна сума);Послуги електричного зв’язку;Послуги поштового зв’язку;Інші витрати на агітацію;Сума витрат виборчого фонду (усього витрачено коштів з поточного рахунку);Залишок коштів на поточному рахунку виборчого фонду;;;;;;;;;;
остаточний;Одеська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2016-01-27;473185,22;668199;38800;0;0;1180184,22;0;0;0;0;0;0;1180184,22;1180184,22;529087,37;-1;-1;-1;-1;-1;204890,26;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;446206,59;1180184,22;0;;;;;;;;;;
остаточний;Одеська;Патріот;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;-1;-1;-1;-1;-1;27189;-1;-1;-1;-1;-1;-1;27189;27089;7029;7029;0;0;0;0;17600;17600;0;17600;0;2460;0;0;0;0;2460;0;0;0;0;0;27089;100;;;;;;;;;;
остаточний;Одеська;Радикальна партія Олега Ляшка;подано повний звіт (Додатки 1-6);2015-11-01;0;61059,34;56431;0;0;117490,34;0;0;0;0;0;0;117490,34;117490,34;57649;57649;0;0;0;0;43861,31;27064;27064;0;16797,31;3376,07;0;0;0;213,9;0;0;3162,17;0;3162,17;12570;117456,38;33,96;;;;;;;;;;
остаточний;Одеська;Соціалісти;подано повний звіт (Додатки 1-6);2015-10-30;0;1050;15002;0;0;16052;0;0;0;0;0;0;16052;16052;10001,16;10001,16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5500;0;0;0;0;0;15501,16;550,84;;;;;;;;;;
остаточний;Одеська;Українська морська партія Сергія Ківалова;подано повний звіт (Додатки 1-6);2015-11-01;0;4436;6000;0;0;10436;0;0;0;0;0;0;10436;10430,6;4430,6;4430,6;0;0;0;0;0;0;0;0;0;6000;0;0;0;6000;0;0;0;0;0;0;10430,6;0;;;;;;;;;;
остаточний;Одеська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;247924,4;0;34200;0;77000;359124,4;77000;0;0;0;0;77000;282124,4;282004,4;61680;-1;-1;-1;-1;-1;46324,4;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;174000;282004,4;0;;;;;;;;;;
остаточний;Полтавська;Аграрна партія України;подано повний звіт (Додатки 1-6);2016-01-28;1000000;13000;0;0;5950;1018950;0;0;5950;0;0;5950;1013000;1013000;311389,01;290740;3060,01;0;13413;4176;339484,76;128134,89;120860,89;7274;211349,87;61644,86;0;0;23008,63;13341,23;25295;0;0;0;0;270402;982920,63;30079,37;;;;;;;;;;
остаточний;Полтавська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;61000;305806,24;94046,9;0;0;460853,14;0;0;0;0;0;0;460853,14;460853,14;227416,5;-1;-1;-1;-1;-1;228776,02;-1;-1;-1;-1;3094,62;-1;-1;-1;-1;-1;-1;-1;-1;-1;1566;460853,14;0;;;;;;;;;;
остаточний;Полтавська;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;214518;410074;25844;0;115000;765436;0;0;115000;0;0;115000;650436;650121;242809,2;-1;-1;-1;-1;-1;398956,3;-1;-1;-1;-1;6569,5;-1;-1;-1;-1;-1;-1;-1;-1;-1;1786;650121;0;;;;;;;;;;
остаточний;Полтавська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-11-02;0;378994;40780;0;0;419774;0;0;0;0;0;0;419774;419647,9;0;81916,6;0;0;0;4931,92;0;0;10465,21;500,4;7461;0;0;0;0;776,3;3000;0;20908,8;0;0;289480;419440,23;207,67;;;;;;;;;;
остаточний;Полтавська;ВО Свобода;подано повний звіт (Додатки 1-6);2015-10-30;13000;0;139980;0;0;152980;0;0;0;0;0;0;152980;152980;53745;53745;0;0;0;0;99209,58;86714,58;71878,34;14836,24;12495;0;0;0;0;0;0;0;0;0;0;0;152954,58;25,42;;;;;;;;;;
остаточний;Полтавська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-27;0;140834;26000;0;0;166834;0,76;0;0;0;0;0,76;166833,24;166833,24;106410;-1;-1;-1;-1;-1;60423,24;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;166833,24;0,76;;;;;;;;;;
проміжний;Полтавська;Нова держава;звіт не подано взагалі;;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;
остаточний;Полтавська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;151320;54185,38;5744,4;0;0;211249,78;0;0;16446,46;0;0;16446,46;194803,32;194803,32;167094,39;-1;-1;-1;-1;-1;27708,93;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;194803,32;0;;;;;;;;;;
остаточний;Полтавська;Партія простих людей Сергія Капліна;подано повний звіт (Додатки 1-6);2015-10-29;156283,72;50988;50000;0;0;257271,72;0;0;0;0;0;0;257271,72;257271,72;80449;80449;0;0;0;0;117519,26;80515;80035;480;37004,26;9803,46;0;0;0;5018,69;500;0;4284,77;0;4284,77;49500;257271,72;0;;;;;;;;;;
остаточний;Полтавська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-11-01;0;72663,14;52672,84;0;0;125335,98;0;0;0;0;0;0;125335,98;125335,98;51090,72;-1;-1;-1;-1;-1;72445,26;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;1800;125335,98;0;;;;;;;;;;
остаточний;Полтавська;Рідне місто;подано повний звіт (Додатки 1-6);2015-10-28;0;225832,8;0;0;0;225832,8;0;0;0;0;0;0;225832,8;225832,8;112622,33;69422,33;43200;0;0;0;90535,73;50287;49280;1007;40248,73;3790,8;0;0;0;1050;0;0;0;0;2740,8;0;206948,86;18883,94;;;;;;;;;;
остаточний;Полтавська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-29;231762,38;0;0;0;0;231762,38;0;0;0,1;2,2;0;2,3;231760,08;231760,08;142832,6;112305,35;2400;0;28127,25;0;54995,04;22548,34;13557,94;8990,4;32446,7;0;0;0;0;0;0;0;0;0;0;33932,44;231760,08;0;;;;;;;;;;
остаточний;Полтавська;Совість України;подано повний звіт (Додатки 1-6);2015-10-31;0;65070;295000;0;0;360070;0;0;0;0;0;0;360070;360070;53710;53710;0;0;0;0;147958,17;79800;79200;600;68158,17;39310;0;0;0;0;39310;0;0;0;0;119088,48;360066,65;3,35;;;;;;;;;;
остаточний;Полтавська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;90600,88;805;0;0;0;91405,88;0;0;0;0;0;0;91405,88;91405,88;22939;-1;-1;-1;-1;-1;20466,88;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;48000;91405,88;0;;;;;;;;;;
остаточний;Рівненська;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;1162600;0;0;0;0;1162600;0;0;0;0;0;0;1162600;1162500;105501;-1;-1;-1;-1;-1;702836,3;-1;-1;-1;-1;351309,58;-1;-1;-1;-1;-1;-1;-1;-1;-1;2600;1162246,88;253,12;;;;;;;;;;
остаточний;Рівненська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;491017,88;347548,48;0;0;0;838566,36;0;0;0;0;0;0;838566,36;838566,36;320644,25;-1;-1;-1;-1;-1;391273,03;-1;-1;-1;-1;126649,08;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;838566,36;0;;;;;;;;;;
остаточний;Рівненська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2016-02-01;74826,15;98573,52;107875;0;0;281274,67;0;0;0;70;0;70;281204,67;281204,67;97094;81692;0;0;14802;600;180376,87;49663,68;7500;42163,68;130713,19;300;0;0;0;300;0;0;0;0;0;3433,8;281204,67;0;;;;;;;;;;
остаточний;Рівненська;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;172532,9;0;0;0;0;172532,9;0;0;0;50;0;50;172482,9;172482,9;24500;-1;-1;-1;-1;-1;121462,9;-1;-1;-1;-1;26400;-1;-1;-1;-1;-1;-1;-1;-1;-1;120;172482,9;0;;;;;;;;;;
остаточний;Рівненська;Воля;подано повний звіт (Додатки 1-6);2016-02-01;0;0;150681,5;0;0;150681,5;0;0;0;0;0;0;150681,5;150591,5;46820,11;46820,11;0;0;0;0;103576,39;43637,2;19000;24637,2;59939,19;195;0;0;0;0;0;0;195;195;0;0;150591,5;0;;;;;;;;;;
остаточний;Рівненська;Громадянська позиція;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;185050;0;0;0;185050;0;0;0;0;0;0;185050;185050;69721;-1;-1;-1;-1;-1;115329;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;185050;0;;;;;;;;;;
остаточний;Рівненська;Європейська партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2016-02-01;105900;4487,4;0;0;0;110387,4;0;0;0;0;0;0;110387,4;110357,4;53760;-1;-1;-1;-1;-1;56357,2;-1;-1;-1;-1;170,2;-1;-1;-1;-1;-1;-1;-1;-1;-1;170,2;110357,4;70;;;;;;;;;;
остаточний;Рівненська;Народний контроль;"подано неповний звіт (без додатків, ""розшифровок"")";2016-02-01;0;45012;0;0;0;45012;0;0;0;0;0;0;45012;45012;13440;-1;-1;-1;-1;-1;31520;-1;-1;-1;-1;50;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;45010;2;;;;;;;;;;
остаточний;Рівненська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2016-02-01;33000;0;0;0;0;33000;0;0;0;0;0;0;33000;33000;5000;-1;-1;-1;-1;-1;0;0;0;0;0;28000;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;33000;0;;;;;;;;;;
остаточний;Рівненська;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-31;0;142000;0;0;0;142000;0;0;0;0;0;0;142000;141800;94580;94580;0;0;0;0;37242,36;2358;0;2358;34884,36;9178,2;0;0;0;0;0;0;9178,2;0;9178,2;0;141000,56;799,44;;;;;;;;;;
остаточний;Рівненська;Партія конкретних справ;подано повний звіт (Додатки 1-6);2015-10-30;0;433577,53;32000;0;0;465577,53;0;0;0;0;0;0;465577,53;465487,53;134332;134332;0;0;0;0;269290,53;106455;94287;12168;162835,53;45710;0;0;0;0;21770;16650;7290;0;7290;16155;465487,53;0;;;;;;;;;;
остаточний;Рівненська;Прогрес;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;120222;17369;0;0;137591;0;0;0;0;0;0;137591;138143;41134,64;-1;-1;-1;-1;-1;64599,5;-1;-1;-1;-1;30690;-1;-1;-1;-1;-1;-1;-1;-1;-1;1500;137924,14;218,86;;;;;;;;;;
остаточний;Рівненська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2016-02-01;0;112870;11281;0;0;124151;0;0;0;0;0;0;124151;124085,47;57831,02;-1;-1;-1;-1;-1;64400,22;-1;-1;-1;-1;1646,88;-1;-1;-1;-1;-1;-1;-1;-1;-1;195;124073,12;12,35;;;;;;;;;;
остаточний;Рівненська;Сила людей;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
остаточний;Рівненська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-27;80753,94;0;0;0;0;80753,94;0;0;0;0;0;0;80753,94;80753,94;36311,5;-1;-1;-1;-1;-1;18502,44;-1;-1;-1;-1;140;-1;-1;-1;-1;-1;-1;-1;-1;-1;25800;80753,94;0;;;;;;;;;;
остаточний;Сумська;Аграрна партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;234585,08;10500;13137,6;0;0;258222,68;0;0;0;0;0;0;258222,68;258222,68;107097;-1;-1;-1;-1;-1;107998,35;-1;-1;-1;-1;43126,93;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;258222,68;0;;;;;;;;;;
остаточний;Сумська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;397504,15;215199,24;-1;-1;-1;721445,19;0;0;0;0;0;-1;721445,19;701929,19;235094,7;-1;-1;-1;-1;-1;456001,19;-1;-1;-1;-1;6249,92;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;697345,81;4583,38;;;;;;;;;;
остаточний;Сумська;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;3576690;1000;0;0;0;3577690;0;0;0;0;0;0;3577690;3577690;1213852;-1;-1;-1;-1;-1;1294913,99;-1;-1;-1;-1;386145,93;-1;-1;-1;-1;-1;-1;-1;-1;-1;682707;3577618,92;71,08;;;;;;;;;;
остаточний;Сумська;ВО Батьківщина;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;185032,92;26380;0;0;211412,92;0;0;0;0;0;0;211412,92;211412,92;43372,19;-1;-1;-1;-1;-1;168040,73;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;211412,92;0;;;;;;;;;;
остаточний;Сумська;Воля народу;подано повний звіт (Додатки 1-6);2015-10-30;0;563100;53792;0;0;616892;0;0;0;0;0;0;616892;616892;99254,5;-1;-1;-1;-1;-1;511549,11;-1;-1;-1;-1;6083,9;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;616887,51;4,49;;;;;;;;;;
остаточний;Сумська;За Україну;подано повний звіт (Додатки 1-6);2015-10-29;0;900;105500;0;0;106400;0;0;0;0;0;0;106400;106400;72744;-1;-1;-1;-1;-1;31894,39;-1;-1;-1;-1;1741,44;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;106379,83;20,17;;;;;;;;;;
остаточний;Сумська;Нова держава;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;5332;0;3564;0;0;8896;0;0;0;0;0;0;8896;8896;2785;-1;-1;-1;-1;-1;6091;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;8876;20;;;;;;;;;;
остаточний;Сумська;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-31;678140;0;19477,25;0;0;697617,25;0;0;0;0;0;-1;697617,25;696203;230709,86;-1;-1;-1;-1;-1;444510,92;-1;-1;-1;-1;20406,97;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;695627,75;575,25;;;;;;;;;;
остаточний;Сумська;Партія простих людей Сергія Капліна;подано повний звіт (Додатки 1-6);2015-10-31;-1;81266,05;26000;-1;-1;127266,05;0;0;0;0;0;0;127266,05;127259,25;65829,65;-1;-1;-1;-1;-1;57306,71;-1;-1;-1;-1;4122,64;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;127259;0,25;;;;;;;;;;
остаточний;Сумська;Радикальна партія Олега Ляшка;подано повний звіт (Додатки 1-6);2015-10-30;0;12458;38780,98;0;0;51238,98;0;0;0;0;0;0;51238,98;51239,48;31003,12;-1;-1;-1;-1;-1;20235,86;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;51238,48;0,5;;;;;;;;;;
остаточний;Сумська;Сила людей;подано повний звіт (Додатки 1-6);2015-10-31;657,04;4400;6899,2;0;0;11956,24;0;0;0;0;0;0;11956,24;11956,24;3610;-1;-1;-1;-1;-1;8346,24;-1;-1;-1;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;11956,24;0;;;;;;;;;;
остаточний;Сумська;УКРОП;подано повний звіт (Додатки 1-6);2015-10-30;348954,89;0;0;0;0;348954,89;0;0;0;0;0;0;348954,89;348954,89;99030;-1;-1;-1;-1;-1;150330,37;-1;-1;-1;-1;12344,52;-1;-1;-1;-1;-1;-1;-1;-1;-1;87250;348954,89;0;;;;;;;;;;
остаточний;Тернопільська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-11-01;0;39473,4;96911;0;8788,4;145172,8;0;0;8788,4;0;0;8788,4;136384,4;136384,4;37504,18;-1;-1;-1;-1;-1;81480,22;-1;-1;-1;-1;14400;-1;-1;-1;-1;-1;-1;-1;-1;-1;3000;136384,4;0;;;;;;;;;;
остаточний;Тернопільська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;0;41255,6;52284;0;0;93539,6;0;0;0;0;0;0;93539,6;93539,6;45546,25;45546,25;0;0;0;0;45610,7;33339;28500;4839;12271,7;0;0;0;0;0;0;0;1096,2;0;0;0;92253,15;1286,45;;;;;;;;;;
остаточний;Тернопільська;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;112400;0;12000;0;0;124400;0;0;0;0;0;0;124400;124400;56113,87;-1;-1;-1;-1;-1;33302;-1;-1;-1;-1;15414;-1;-1;-1;-1;-1;-1;-1;-1;-1;6880,13;111710;12690;;;;;;;;;;
остаточний;Тернопільська;Громадянська позиція;подано повний звіт (Додатки 1-6);2016-10-30;138622,41;0;0;0;0;138622,41;0;0;0;55;0;55;138567,41;138567,41;130702,81;130702,81;0;0;0;0;7749,6;7749,6;7200;549,6;0;0;0;0;0;0;0;0;0;0;0;115;138567,41;0;;;;;;;;;;
остаточний;Тернопільська;Добрий самарянин;"подано неповний звіт (без додатків, ""розшифровок"")";2016-10-30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
остаточний;Тернопільська;Народний контроль;подано повний звіт (Додатки 1-6);2016-10-27;250880,64;0;0;0;0;250880,64;0;0;0;0;0;0;250880,64;250880,64;75458;68058;600;0;6800;0;149262,4;137356,4;134881,4;2475;11906;11904,24;0;0;0;0;0;0;0;0;11904,24;14256;250880,64;0;;;;;;;;;;
остаточний;Тернопільська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;6710;29170;0;0;35880;0;0;0;0;0;0;35880;35880;25446;-1;-1;-1;-1;-1;10434;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;35880;0;;;;;;;;;;
остаточний;Тернопільська;Самопоміч;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-17;197000;-1;-1;-1;700;237280;0;0;700;0;0;0;237280;237280;184859,62;139826;-1;-1;2000;-1;13342,3;1311,05;780;531,05;12031,25;39076;0;0;0;900;4720;0;33456;0;33456;0;237277,92;2,08;;;;;;;;;;
остаточний;Тернопільська;Українська Галицька Партія;подано повний звіт (Додатки 1-6);2015-10-30;47625;0;112555;0;0;160180;0;0;0;0;0;0;160180;160180;48212;48212;0;0;0;0;72006;0;51072;18651;2283;39956;0;0;0;0;39956;0;0;0;0;0;160174;6;;;;;;;;;;
остаточний;Тернопільська;УКРОП;подано повний звіт (Додатки 1-6);2015-11-01;89205;3590;0;0;0;92795;0;0;0;0;0;0;92795;92795;33287,1;32787,1;0;0;500;0;16235,9;10039,9;5000;5039,9;6196;0;0;0;0;0;0;0;0;0;0;43272;92795;0;;;;;;;;;;
остаточний;Харківська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;612884;918050,68;1422954,8;0;0;2953889,48;6720;0;0;1980,16;0;8700,16;2945189,32;2952179,14;1668350,23;-1;-1;-1;-1;-1;1003021,85;-1;-1;-1;-1;271593,99;-1;-1;-1;-1;-1;-1;-1;-1;-1;7880,4;2950846,47;1332,67;;;;;;;;;;
остаточний;Харківська;ВО Батьківщина;подано повний звіт (Додатки 1-6);2015-10-30;0;106284;9920;0;2420;118624;0;0;1700;0;0;1700;116924;116201,6;90968,4;70118,4;2100;0;18750;0;22083,2;12160;12160;0;9923,2;1450;0;0;0;1450;0;0;0;0;0;0;114501,6;1700;;;;;;;;;;
проміжний;Харківська;ВО Свобода;подано повний звіт (Додатки 1-6);2015-10-19;159028;0;0;0;0;159028;0;0;0;0;0;0;159028;159028;62100;62100;0;0;0;0;96928;96928;94768;2160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
остаточний;Харківська;Волонтерська партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;85000;150012;246070;0;0;481082;0;0;0;0;0;0;481082;481082;264719,71;-1;-1;-1;-1;-1;157191,29;-1;-1;-1;-1;23000;-1;-1;-1;-1;-1;-1;-1;-1;-1;36171;481082;0;;;;;;;;;;
остаточний;Харківська;Наш край;подано повний звіт (Додатки 1-6);2015-10-28;3019916,36;0;0;0;0;3019916,36;0;0;0;1537,78;0;1537,78;3018378,58;3018378,58;2015420,51;1987506,51;0;0;12500;15414;334965,99;128671,52;60959;67712,52;206294,47;128553,09;0;0;0;9135,97;0;113417;6000,12;0;6000,12;537745,6;3016685,19;1693,39;;;;;;;;;;
остаточний;Харківська;Нова держава;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;69305,26;0;0;0;0;69305,26;0;0;0;0;0;0;69305,26;69305,26;69230,26;-1;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69230,26;75;;;;;;;;;;
остаточний;Харківська;"Партія Сергія Тігіпка ""Сильна Україна""";подано повний звіт (Додатки 1-6);2015-10-23;0;6081;0;0;0;6081;0;0;0;0;0;0;6081;6081;6081;6081;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
проміжний;Харківська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-19;0;0;60778;0;0;60778;0;0;0;0;0;0;60778;60778;59469;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;
остаточний;Харківська;Самопоміч;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;242534;0;0;0;0;242534;0;0;0;0;0;0;242534;241761;86601,4;-1;-1;-1;-1;-1;148659,49;-1;-1;-1;-1;6500;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;241760,89;0,11;;;;;;;;;;
остаточний;Харківська;Сила людей;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;0;57963,4;35650;0;0;93613,4;0;0;0;0;0;0;93613,4;93613,4;83522,4;-1;-1;-1;-1;-1;9891;-1;-1;-1;-1;200;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;93613,4;0;;;;;;;;;;
остаточний;Харківська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-29;211730,3;0;4692;0;0;216422,3;0;0;0;0;0;0;216422,3;216422,23;181715;-1;-1;-1;-1;-1;25043,3;-1;-1;-1;-1;8664;-1;-1;-1;-1;-1;-1;-1;-1;-1;1000;216422,23;0;;;;;;;;;;
остаточний;Херсонська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2016-02-01;0;413022,81;279780,5;0;0;692803,31;0;0;0;0;0;0;692803,31;692803,31;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;;;;;;;;;
остаточний;Херсонська;Відродження;подано повний звіт (Додатки 1-6);2015-10-31;325998;28229;193351;0;0;547578;0;0;2000;0;0;2000;545578;545578;33658;33658;0;0;0;0;283934,15;186814;136098;50716;97120,15;227985;0;0;0;0;227985;0;0;0;0;0;545577,15;0,85;;;;;;;;;;
остаточний;Херсонська;Наш край;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;69000;1133163,45;22870,07;0;0;1225033,52;0;0;0;0;0;0;1225033,52;1225033,52;694234,64;-1;-1;-1;-1;-1;426434,3;-1;-1;-1;-1;15540,26;-1;-1;-1;-1;-1;-1;-1;-1;-1;81490;1217699,2;7334,32;;;;;;;;;;
остаточний;Херсонська;Опозиційний блок;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;465925,65;41298;0;0;10000;517223,65;0;0;0;0;0;0;517223,65;507223,65;123045,45;-1;-1;-1;-1;-1;146835,4;-1;-1;-1;-1;237342,8;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;507223,65;0;;;;;;;;;;
остаточний;Херсонська;Партія місцевого самоврядування;подано повний звіт (Додатки 1-6);2015-10-28;13290;20791;32059;0;0;66140;0;0;0;0;0;0;66140;66032;18029,98;18029,98;0;0;0;0;37888,7;14464;10480;3984;23424,7;9700;0;0;0;0;9700;0;0;0;0;0;65618,68;413,32;;;;;;;;;;
остаточний;Херсонська;Самопоміч;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;22124;720;0;0;0;22844;0;0;0;0;0;0;22844;22844;0;0;0;0;0;0;22450;0;0;0;22450,32;0;0;0;0;0;0;0;0;0;0;0;22450,32;393,68;;;;;;;;;;
остаточний;Херсонська;Сила і честь;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-27;0;5700;0;0;0;5700;0;0;0;0;0;0;5700;5700;5700;5700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5700;0;;;;;;;;;;
остаточний;Херсонська;Соціалісти;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-28;0;0;57358,72;0;0;57358,72;0;0;0;0;0;0;57358,72;57358,72;19540;19540;0;0;0;0;35480;30080;27200;2880;5400;1098,72;0;0;0;0;0;0;1098,72;0;1098,72;1240;0;0;;;;;;;;;;
остаточний;Херсонська;Союз лівих сил;подано повний звіт (Додатки 1-6);2015-10-30;9410;0;35000;0;0;44410;0;0;0;0;0;0;44410;44410;44410;13086;23924;7400;0;0;44410;31324;23924;7400;13086;0;0;0;0;0;0;0;0;0;0;0;44410;0;;;;;;;;;;
