Вкажіть тип фінансового звіту, який заповнюєте;Область;Вкажіть назву партії;Чи подано звіт?;Дата подання фінансового звіту партією;Власні кошти місцевої організації партії;Внески кандидатів, включених до виборчого списку;Добровільні внески фізичних осіб;"Надходження коштів від осіб, не визначених у частині першій статті 72 Закону України ""Про місцеві вибори"" (юридичні особи, громадські організації тощо)";Помилкові надходження коштів;Усього надійшло коштів на накопичувальний рахунок виборчого фонду;Повернення добровільних внесків фізичним особам (загальна сума);Перерахування коштів до бюджетів (загальна сума);Повернення помилкових надходжень коштів;Банківські послуги, які не повязані з відкриттям і закриттям рахунку та його функціонуванням;Публікування реквізитів накопичувального рахунку в друкованих ЗМІ;Усього перераховано коштів з накопичувального рахунку виборчого фонду;Загальний розмір виборчого фонду;Усього надійшло коштів на поточний рахунок виборчого фонду;Виготовлення матеріалів передвиборної агітації (загальна сума);Виготовлення друкованих матеріалів (плакатів, листівок, буклетів та інших агітаційних матеріалів);Виготовлення відеозаписів;Виготовлення аудіозаписів;Виготовлення предметів, матеріалів (сувенірів, канцтоварів тощо)  з використанням прізвищ чи зображень (портретів) кандидатів;Придбання канцтоварів, паперу, інших предметів і матеріалів для виготовлення матеріалів передвиборної агітації;Використання засобів масової інформації (загальна сума);Оплата ефірного часу (загальна сума телебачення + радіо);Оплата ефірного часу на телебаченні;Оплата ефірного часу на радіо;Публікування агітаційних матеріалів у друкованих засобах масової інформації;Інші послуги, пов’язані з проведенням передвиборної агітації (загальна сума);Транспортні послуги для реалізації заходів передвиборної агітації;Оренда будинків і приміщень для проведення публічних дебатів, дискусій, круглих столів, прес-конференцій стосовно положень передвиборної програми кандидата, а також для виготовлення матеріалів передвиборної агітації;Оренда обладнання та технічних засобів для ведення передвиборної агітації;Оренда приміщень усіх форм власності для проведення зборів громадян та інших публічних заходів передвиборної агітації;Виготовлення (оренда) рекламних щитів;Виготовлення (оренда) агітаційних наметів;Послуги зв’язку (загальна сума);Послуги електричного зв’язку;Послуги поштового зв’язку;Інші витрати на агітацію;Сума витрат виборчого фонду (усього витрачено коштів з поточного рахунку);Залишок коштів на поточному рахунку виборчого фонду;;;;;;;;;;
остаточний;Житомирська;ВО Свобода;"подано неповний звіт (без додатків, ""розшифровок"")";2016-01-22;0;90962,23;24040;0;0;115002,23;0;0;0;0;0;0;115002,23;115002,23;48603,61;-1;-1;-1;-1;-1;64244,44;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;0;112848,05;2154,18;;;;;;;;;;
остаточний;Житомирська;Народна партія;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;0;103670;0;0;0;103670;0;0;0;0;0;0;103670;103670;44217;44217;0;0;0;0;48533,46;8366,4;5544;2822,4;40167,06;10868;0;0;0;0;8600;0;2268;0;2268;0;103618,46;51,54;;;;;;;;;;
остаточний;Житомирська;Наш край;подано повний звіт (Додатки 1-6);2015-10-29;6300;244032;0;0;1200;251532;0;0;1200;0;0;1200;250332;250332;53361;51021;0;2340;0;0;101512,99;65744;59288;6456;35768,99;90140;0;0;0;0;87500;0;2640;2640;0;5318;250331,99;0,1;;;;;;;;;;
остаточний;Житомирська;Нова держава;подано повний звіт (Додатки 1-6);2015-10-30;0;49914,78;30150;0;0;80064,78;0;0;0;0;0;0;80064,78;80064,78;4980;1000;3980;0;0;0;65202,78;39330;39330;0;25872,78;9882;0;0;0;0;0;0;9882;0;9882;0;80064,78;0;;;;;;;;;;
остаточний;Житомирська;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-28;302044,76;589717,4;150173;23420;0;1065355,16;0;0;0;0;0;0;1065355,16;1061914,83;399804,06;385733,66;0;14070,4;0;0;337173,07;156903,26;101556,66;55346,6;180269,81;311760,5;0;0;0;600;231600,5;0;79560;0;79560;13177,2;1061914,83;0;;;;;;;;;;
остаточний;Житомирська;Партія простих людей Сергія Капліна;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;13770;13458;10816;0;0;38044;0;0;0;0;0;0;38044;38044;27886;-1;-1;-1;-1;-1;4158;-1;-1;-1;-1;0;0;0;0;0;0;0;0;0;0;6000;38044;0;;;;;;;;;;
проміжний;Житомирська;Патріотична партія України;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-19;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;78240;50424,8;50424,8;0;0;0;0;23965,62;10064;10064;0;13901,62;2700;0;0;0;0;2700;0;0;0;0;0;77090,42;1149,58;;;;;;;;;;
остаточний;Житомирська;Радикальна партія Олега Ляшка;подано повний звіт (Додатки 1-6);2015-10-30;0;110042,65;9735,09;0;0;119777,74;0;0;0;0;0;0;119777,74;119777,74;70027,5;70027,5;0;0;0;0;48616,24;7961;7961;0;40655,24;1134;0;0;0;0;0;0;1134;0;1134;0;119777,74;0;;;;;;;;;;
остаточний;Житомирська;Республіканська платформа;подано повний звіт (Додатки 1-6);2015-10-30;92546,1;5700;0;0;0;98246,1;0;0;0;0;0;0;98246,1;98246,1;82366,1;75901,1;6465;0;0;0;15880;14920;10600;4320;960;0;0;0;0;0;0;0;0;0;0;0;98246,1;0;;;;;;;;;;
остаточний;Житомирська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-30;0;70434,04;0;0;0;70434,05;0;0;0;0;0;0;70434,05;70434,05;46745,05;46745,05;0;0;0;0;0;0;0;0;0;12335;0;0;0;0;12280;0;55;55;0;11025;329;0;;;;;;;;;;
остаточний;Житомирська;УКРОП;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-30;76437,71;8270;8867,4;0;11287,4;104862,51;0;272;11015,4;0;0;11287,4;93575,11;93575,11;8724;-1;-1;-1;-1;-1;46445,45;-1;-1;-1;-1;1000;-1;-1;-1;-1;-1;-1;-1;-1;-1;37405,66;93575,11;0;;;;;;;;;;
остаточний;Закарпатська;БПП Солідарність;"подано неповний звіт (без додатків, ""розшифровок"")";2016-10-30;504724;267113,4;157565;0;23270;952672,4;0;0;23270;0;0;23270;929402,4;929402,4;487763,56;-1;-1;-1;-1;-1;339452,33;-1;-1;-1;-1;1814,4;-1;-1;-1;-1;-1;-1;-1;-1;-1;69512,28;898542,57;30859,83;;;;;;;;;;
остаточний;Закарпатська;Відродження;"подано неповний звіт (без додатків, ""розшифровок"")";2016-10-30;217436;776680;4800;0;0;998916;0;0;0;0;0;0;998916;998916;401856,68;-1;-1;-1;-1;-1;419242,32;-1;-1;-1;-1;177317;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;998416;500;;;;;;;;;;
остаточний;Закарпатська;ВО Свобода;подано повний звіт (Додатки 1-6);2015-11-02;0;129400;17100;0;0;146500;0;0;0;0;0;0;146500;146500;12020;12020;0;0;0;0;134460,8;84880;58720;26160;49580,8;0;0;0;0;0;0;0;0;0;0;0;146480,8;19,2;;;;;;;;;;
остаточний;Закарпатська;Єдиний центр;подано повний звіт (Додатки 1-6);2016-02-01;5800;1580300;0;0;0;1586100;0;0;0;0;0;0;1586100;1586100;1263076;1261920;0;0;0;1156;284879;214877;181200;33677;70002;38145;0;0;0;1945;36200;0;0;0;0;0;1586100;0;;;;;;;;;;
проміжний;Закарпатська;КМКС Партія угорців України;подано повний звіт (Додатки 1-6);2016-10-16;0;576000;0;0;0;576000;0;0;0;0;0;0;576000;57600;299376;299376;0;0;0;0;8388;0;0;0;8388;245200;0;0;0;0;245200;0;0;0;0;7560;560524;-1;;;;;;;;;;
проміжний;Закарпатська;Опозиційний блок;подано повний звіт (Додатки 1-6);2015-10-16;420000;0;0;0;0;420000;0;0;0;0;0;0;420000;420000;17110;17110;0;0;0;0;308718,52;89312,52;75242,52;14070;219406;87561;0;0;0;0;87561;0;0;0;0;0;413389,52;-1;;;;;;;;;;
остаточний;Закарпатська;Радикальна партія Олега Ляшка;"подано неповний звіт (без додатків, ""розшифровок"")";2015-10-31;0;32232;47355,5;0;0;79567,5;0;0;0;0;0;0;79567,5;79567,5;71258,36;-1;-1;-1;-1;-1;3258,6;-1;-1;-1;-1;3192;-1;-1;-1;-1;-1;-1;-1;-1;-1;0;77708,96;1858,54;;;;;;;;;;
остаточний;Закарпатська;Самопоміч;подано повний звіт (Додатки 1-6);2015-10-30;0;9950;2077;0;0;12027;0;0;0;0;0;0;12027;11988,88;11981,46;11981,46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11981,46;7,42;;;;;;;;;;
остаточний;Закарпатська;УКРОП;подано повний звіт (Додатки 1-6);2015-10-30;45300;108360;0;0;0;153660;0;0;0;0;0;0;153660;153660;77516,32;72016,32;0;0;5500;0;0;0;0;0;0;58020;26520;0;0;0;31500;0;0;0;0;15495;151031;2628;;;;;;;;;;
